Cpu,Ram,Gpu,OpSys,Price,Category,Label number
B,4,Q,WI,38692,Student,4
A,4,Q,WI,38692,Student,4
B,6,Q,WI,38692,Student,4
A,4,Q,WI,38692,Student,4
B,4,Q,WI,38692,Student,4
B,8,R,NO,38692,Student,4
A,4,R,WI,38692,Student,4
B,4,R,WI,39468,Student,4
B,4,Q,LI,40243,Student,4
B,8,Q,NO,40243,Student,4
A,8,Q,WI,40243,Student,4
B,8,Q,WI,40391,Student,4
B,4,Q,WI,40435,Student,4
B,8,R,LI,40553,Executive,5
A,4,R,NO,41019,Executive,5
B,4,Q,WI,41096,Executive,5
A,4,Q,WI,41096,Executive,5
B,4,R,WI,41484,Executive,5
A,6,Q,WI,41794,Executive,5
A,8,R,WI,41794,Executive,5
B,8,R,WI,41868,Executive,5
A,4,R,WI,42182,Executive,5
A,8,R,WI,42193,Executive,5
A,4,Q,WI,42311,Executive,5
B,4,Q,WI,42569,Executive,5
B,8,R,NO,42569,Executive,5
B,8,R,NO,42569,Executive,5
B,6,R,WI,42569,Executive,5
B,6,R,WI,42569,Executive,5
B,4,R,WI,42569,Executive,5
A,4,P,WI,42880,Executive,5
B,8,R,WI,43218,Executive,5
A,4,Q,WI,43314,Executive,5
B,4,Q,WI,43345,Executive,5
B,4,R,LI,43345,Executive,5
B,8,R,WI,43345,Executive,5
A,4,Q,WI,43733,Executive,5
B,6,R,WI,43733,Executive,5
B,8,Q,WI,43810,Executive,5
A,4,R,WI,43810,Executive,5
B,6,R,WI,44113,Executive,5
B,4,Q,LI,44120,Executive,5
B,6,Q,WI,44120,Executive,5
B,4,Q,WI,44353,Executive,5
B,4,Q,WI,44586,Executive,5
B,8,R,NO,44586,Executive,5
B,6,Q,WI,44741,Executive,5
B,6,Q,WI,44896,Executive,5
A,4,Q,WI,44896,Executive,5
B,4,R,NO,44896,Executive,5
B,8,R,WI,44896,Executive,5
C,6,S,WI,44896,Executive,5
A,8,Q,WI,45121,Executive,5
B,4,Q,WI,45361,Executive,5
A,4,R,WI,45361,Executive,5
B,4,R,WI,45453,Executive,5
B,4,R,WI,45485,Executive,5
B,4,Q,WI,45671,Executive,5
B,8,R,NO,45671,Executive,5
A,8,R,WI,45671,Executive,5
B,8,R,WI,45671,Executive,5
B,8,Q,LI,45711,Executive,5
B,8,Q,WI,45749,Executive,5
B,8,R,LI,46291,Executive,5
B,8,R,WI,46291,Executive,5
C,8,Q,WI,46369,Executive,5
B,4,Q,LI,46439,Executive,5
B,4,Q,WI,46446,Executive,5
B,8,Q,WI,46446,Executive,5
B,4,Q,WI,46446,Executive,5
B,8,R,NO,46446,Executive,5
B,4,R,WI,46446,Executive,5
C,8,Q,LI,46516,Executive,5
B,4,R,WI,46679,Executive,5
C,12,Q,WI,47222,Executive,5
B,4,Q,WI,47222,Executive,5
B,4,Q,WI,47502,Executive,5
B,4,Q,WI,47532,Executive,5
A,4,Q,WI,47610,Executive,5
A,4,P,CH,47687,Executive,5
A,4,Q,WI,47912,Executive,5
B,8,Q,WI,47996,Executive,5
B,6,Q,WI,47997,Executive,5
B,4,Q,WI,47997,Executive,5
B,8,R,WI,47997,Executive,5
B,4,R,WI,48187,Executive,5
B,8,Q,WI,48773,Executive,5
B,4,Q,WI,48773,Executive,5
B,8,R,NO,48773,Executive,5
B,4,R,WI,48850,Executive,5
B,4,R,WI,49315,Executive,5
B,8,Q,WI,49547,Executive,5
B,4,Q,WI,49548,Executive,5
B,8,R,WI,49548,Executive,5
C,4,R,WI,49548,Executive,5
B,6,R,WI,49549,Executive,5
A,8,R,WI,49618,Executive,5
B,8,Q,LI,50168,Programmer,6
B,12,Q,WI,50323,Programmer,6
B,6,R,WI,50323,Programmer,6
B,6,R,WI,50323,Programmer,6
B,8,R,WI,50323,Programmer,6
B,4,R,WI,50323,Programmer,6
B,4,R,WI,50323,Programmer,6
B,6,Q,WI,50401,Programmer,6
B,4,Q,WI,50789,Programmer,6
B,6,R,WI,50789,Programmer,6
B,4,R,WI,50789,Programmer,6
B,4,R,WI,50944,Programmer,6
A,4,Q,WI,51099,Programmer,6
C,8,R,WI,51099,Programmer,6
B,8,R,WI,51099,Programmer,6
B,6,R,WI,51099,Programmer,6
B,8,R,WI,51099,Programmer,6
C,12,S,WI,51099,Programmer,6
C,8,R,NO,51100,Programmer,6
B,8,R,WI,51409,Programmer,6
A,8,R,WI,51564,Programmer,6
B,4,R,WI,51834,Programmer,6
B,4,R,WI,51874,Programmer,6
C,8,R,WI,51874,Programmer,6
B,8,Q,WI,52340,Programmer,6
B,4,R,WI,52340,Programmer,6
B,8,Q,LI,52522,Programmer,6
B,4,R,WI,52882,Programmer,6
B,4,R,WI,53099,Programmer,6
B,4,Q,WI,53114,Programmer,6
